,asd_desc,county,state,year,cyield,irig_flag,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
23,SAN LUIS VALLEY,costilla,CO,2011,132.6,1,0.0,32.702568306,2.098,111.0,0.0,182.0,183.0,0.436830601093,28.5156830601,44.3619672131,42.2450273224,0.0011693989071
25,SAN LUIS VALLEY,rio grande,CO,2013,155.2,1,0.0,33.5884782609,3.571,113.0,0.0,179.0,182.0,0.504836956522,24.9207608696,41.8895108696,39.0035326087,0.00153586956522
27,SAN LUIS VALLEY,rio grande,CO,2011,141.6,1,0.0,31.6880327869,2.309,102.0,0.0,181.0,183.0,0.452950819672,28.6453551913,41.8782513661,38.3591803279,0.000994535519126
28,SAN LUIS VALLEY,rio grande,CO,2010,166.7,1,0.0,33.4653551913,0.151,85.0,0.0,178.0,183.0,0.498087431694,27.4331693989,41.083989071,37.0565027322,0.000994535519126
30,SAN LUIS VALLEY,saguache,CO,2013,145.0,1,0.0,33.8378688525,3.625,96.0,0.0,178.0,182.0,0.501584699454,25.4532240437,42.6228961749,39.2579781421,0.00137704918033
32,SAN LUIS VALLEY,saguache,CO,2011,137.8,1,0.0,30.0571038251,1.186,83.0,0.0,181.0,183.0,0.420819672131,28.7244262295,42.6940983607,39.0542622951,0.000807650273224
33,SAN LUIS VALLEY,saguache,CO,2010,137.5,1,0.0,32.3865027322,0.501,78.0,0.0,180.0,183.0,0.466666666667,28.3157923497,41.8122404372,38.2799453552,0.0010262295082
35,NORTH,benewah,ID,2012,72.8,0,0.0,37.45,0.0,0.0,0.0,1.0,1.0,0.51,28.13,44.91,44.26,0.0
36,NORTH,benewah,ID,2010,51.8,0,0.0,41.8914285714,0.0,123.0,0.0,181.0,182.0,0.605164835165,23.157032967,46.9097252747,44.8747802198,0.00218186813187
37,NORTH,boundary,ID,2014,86.4,1,0.0,44.92,0.0,1.0,0.0,1.0,1.0,0.75,15.59,43.48,43.48,0.0042
38,NORTH,boundary,ID,2013,69.4,0,0.0,44.1586413043,0.0,101.0,0.0,183.0,184.0,0.613532608696,21.7213586957,48.6765217391,48.0297282609,0.00200434782609
39,NORTH,boundary,ID,2012,77.8,0,0.0,39.2,0.0,0.0,0.0,1.0,1.0,0.55,28.36,44.41,44.41,0.0
40,NORTH,boundary,ID,2010,94.1,1,0.0,43.1033879781,0.0,106.0,0.0,181.0,183.0,0.648087431694,21.2640437158,46.4134972678,45.2929508197,0.00213879781421
41,NORTH,clearwater,ID,2014,45.7,0,0.0,44.13,0.0,1.0,0.0,1.0,1.0,0.76,13.26,43.7,43.7,0.0128
42,NORTH,clearwater,ID,2013,62.2,0,0.0,43.3297814208,0.0,89.0,0.0,183.0,183.0,0.58693989071,22.8774863388,48.9430054645,47.7407103825,0.00189398907104
43,NORTH,idaho,ID,2014,67.9,0,0.0,43.65,0.0,1.0,0.0,1.0,1.0,0.78,9.4,44.62,43.22,0.0183
44,NORTH,idaho,ID,2013,59.2,0,0.0,41.9413114754,0.0,99.0,0.0,183.0,183.0,0.574863387978,25.3969398907,47.2375409836,46.0005464481,0.00233387978142
45,NORTH,idaho,ID,2012,56.4,0,0.0,38.32,0.0,0.0,0.0,1.0,1.0,0.54,32.37,43.35,41.11,0.0
46,NORTH,idaho,ID,2011,66.2,0,0.0,40.3736956522,2.561,116.0,0.0,179.0,184.0,0.602663043478,26.0133152174,44.3714130435,42.5530978261,0.00290489130435
47,NORTH,idaho,ID,2010,61.2,0,0.0,40.9801092896,0.017,123.0,0.0,180.0,183.0,0.62306010929,25.3249726776,44.3833879781,42.4249726776,0.00398469945355
48,NORTH,kootenai,ID,2013,37.3,0,0.0,43.5958469945,0.0,89.0,0.0,183.0,183.0,0.586010928962,22.4681420765,49.1650273224,47.51,0.00171584699454
49,NORTH,latah,ID,2014,64.3,0,0.0,42.93,0.0,1.0,0.0,1.0,1.0,0.68,15.15,45.24,45.24,0.0082
50,NORTH,latah,ID,2013,70.6,0,0.0,43.0006557377,0.0,90.0,0.0,183.0,183.0,0.56131147541,23.3125136612,49.376557377,48.094863388,0.00172349726776
51,NORTH,latah,ID,2012,67.8,0,0.0,37.47,0.0,0.0,0.0,1.0,1.0,0.51,29.55,43.93,43.35,0.0
52,NORTH,latah,ID,2011,63.8,0,0.0,40.494076087,0.0,118.0,0.0,183.0,184.0,0.569184782609,24.7932065217,46.5073913043,44.6966847826,0.00177173913043
53,NORTH,latah,ID,2010,68.3,0,0.0,42.074863388,0.0,116.0,0.0,182.0,183.0,0.594808743169,23.8343715847,47.2881967213,45.4186885246,0.00207267759563
54,NORTH,lewis,ID,2014,75.1,0,0.0,42.4,0.0,1.0,0.0,1.0,1.0,0.69,12.85,45.51,45.51,0.0095
55,NORTH,lewis,ID,2013,73.2,0,0.0,42.4116393443,0.0,100.0,0.0,183.0,183.0,0.554207650273,23.6757377049,49.0789617486,48.0155737705,0.00174918032787
56,NORTH,lewis,ID,2012,72.0,0,0.0,37.98,0.0,0.0,0.0,1.0,1.0,0.51,29.45,44.61,43.46,0.0
57,NORTH,lewis,ID,2011,71.8,0,0.0,40.6657065217,0.0,121.0,0.0,183.0,184.0,0.580326086957,24.8258695652,46.1594021739,44.5625,0.00226032608696
58,NORTH,lewis,ID,2010,67.6,0,0.0,41.8359016393,0.0,117.0,0.0,182.0,183.0,0.599234972678,24.0852459016,46.7665027322,45.1083060109,0.00240382513661
59,NORTH,nez perce,ID,2012,67.4,0,0.0,38.11,0.0,0.0,0.0,1.0,1.0,0.49,28.7,46.0,45.18,0.0
60,NORTH,nez perce,ID,2011,64.9,0,0.0,40.494673913,0.0,119.0,0.0,183.0,184.0,0.553043478261,24.7257065217,47.4648369565,45.8604347826,0.00185815217391
61,NORTH,nez perce,ID,2010,54.7,0,0.0,41.8975409836,0.0,116.0,0.0,183.0,183.0,0.56912568306,24.0845355191,48.3892896175,46.7994535519,0.00203333333333
68,SOUTHWEST,ada,ID,2011,120.0,1,0.0,38.3863387978,0.0,84.0,0.0,183.0,183.0,0.466338797814,27.9509836066,48.8979234973,47.0710382514,0.00104918032787
69,SOUTHWEST,ada,ID,2010,117.1,1,0.0,37.6543715847,0.0,97.0,0.0,182.0,183.0,0.466666666667,27.5102185792,48.4986885246,46.6796721311,0.00115027322404
71,SOUTHWEST,canyon,ID,2013,118.2,1,0.0,39.2784782609,0.0,64.0,0.0,184.0,184.0,0.425869565217,27.3871195652,51.521576087,50.1016304348,0.000784782608696
73,SOUTHWEST,canyon,ID,2011,116.3,1,0.0,39.2916939891,0.0,83.0,0.0,183.0,183.0,0.482459016393,28.9467759563,48.0803278689,46.2110382514,0.00121530054645
74,SOUTHWEST,canyon,ID,2010,116.7,1,0.0,38.2490163934,0.0,100.0,0.0,183.0,183.0,0.473387978142,28.8904918033,47.5071038251,45.622568306,0.00134590163934
76,SOUTHWEST,gem,ID,2013,61.4,0,0.0,38.5135326087,0.0,82.0,0.0,184.0,184.0,0.445217391304,26.7198369565,49.8310326087,48.3960869565,0.0010597826087
77,SOUTHWEST,gem,ID,2010,72.9,0,0.0,37.7328961749,0.0,101.0,0.0,181.0,183.0,0.503715846995,27.7198907104,45.8291803279,44.1633333333,0.00168579234973
79,SOUTHWEST,owyhee,ID,2013,100.0,1,0.0,37.8034972678,0.0,75.0,0.0,183.0,183.0,0.406721311475,26.2143169399,52.1224043716,50.8043169399,0.0011174863388
80,SOUTHWEST,owyhee,ID,2011,104.4,1,0.0,38.0242076503,0.0,83.0,0.0,183.0,183.0,0.465901639344,28.2887978142,48.4018032787,46.5527868852,0.00101366120219
81,SOUTHWEST,owyhee,ID,2010,104.4,1,0.0,36.7394535519,0.0,87.0,0.0,183.0,183.0,0.455409836066,28.0498360656,48.0807103825,46.2301639344,0.00097650273224
82,SOUTHWEST,payette,ID,2013,86.7,1,0.0,39.0594565217,0.0,81.0,0.0,184.0,184.0,0.439402173913,27.0005434783,50.7898913043,49.3796195652,0.000940217391304
92,SOUTH CENTRAL,blaine,ID,2013,107.1,1,0.0,37.1035519126,0.494,88.0,0.0,179.0,183.0,0.455792349727,25.3103825137,48.2929508197,46.8104371585,0.00118360655738
94,SOUTH CENTRAL,blaine,ID,2011,113.5,1,0.0,36.5997282609,1.517,105.0,0.0,182.0,184.0,0.500923913043,26.7325543478,45.0293478261,42.7597282609,0.00110217391304
95,SOUTH CENTRAL,blaine,ID,2010,113.6,1,0.0,35.3441530055,1.417,103.0,0.0,178.0,183.0,0.490054644809,26.2520218579,44.6971584699,42.5245355191,0.00181420765027
96,SOUTH CENTRAL,camas,ID,2013,30.2,0,0.0,37.2926630435,0.0,87.0,0.0,182.0,184.0,0.448206521739,25.9038586957,48.7488043478,47.4282065217,0.00104619565217
98,SOUTH CENTRAL,camas,ID,2011,22.5,0,0.0,36.8076630435,0.579,105.0,0.0,183.0,184.0,0.497391304348,27.3868478261,45.2395652174,43.3800543478,0.00128152173913
99,SOUTH CENTRAL,camas,ID,2010,28.6,0,0.0,35.8198360656,1.548,104.0,0.0,180.0,183.0,0.490710382514,26.7562295082,45.0679234973,43.3499453552,0.00152021857923
101,SOUTH CENTRAL,cassia,ID,2013,132.2,1,0.0,39.4268852459,0.0,79.0,0.0,182.0,183.0,0.454043715847,24.4590710383,51.2496721311,49.5981420765,0.000822404371585
103,SOUTH CENTRAL,cassia,ID,2011,121.9,1,0.0,39.3885326087,0.601,98.0,0.0,182.0,184.0,0.506576086957,25.8722282609,48.1517934783,45.9348369565,0.00117717391304
104,SOUTH CENTRAL,cassia,ID,2010,128.2,1,0.0,37.3772677596,0.0,93.0,0.0,181.0,183.0,0.478579234973,26.9565027322,47.3410382514,44.8232786885,0.00107704918033
106,SOUTH CENTRAL,gooding,ID,2013,115.5,1,0.0,37.7883606557,0.0,80.0,0.0,182.0,183.0,0.436721311475,25.5536065574,50.308852459,48.7477595628,0.000890710382514
108,SOUTH CENTRAL,gooding,ID,2011,123.3,1,0.0,37.5613043478,0.088,104.0,0.0,183.0,184.0,0.488369565217,27.2554891304,46.7660326087,44.4917934783,0.00103695652174
110,SOUTH CENTRAL,jerome,ID,2013,132.7,1,0.0,38.4845901639,0.0,74.0,0.0,182.0,183.0,0.444207650273,25.2155191257,50.9232786885,48.852568306,0.000638797814208
112,SOUTH CENTRAL,jerome,ID,2011,136.4,1,0.0,38.3748913043,0.469,86.0,0.0,183.0,184.0,0.496847826087,26.8703804348,47.6330434783,44.729673913,0.000896739130435
113,SOUTH CENTRAL,jerome,ID,2010,135.4,1,0.0,36.5967759563,0.432,92.0,0.0,182.0,183.0,0.474535519126,26.7301092896,47.2549726776,44.3883060109,0.000909836065574
115,SOUTH CENTRAL,lincoln,ID,2013,113.3,1,0.0,37.7819125683,0.0,85.0,0.0,180.0,183.0,0.44825136612,25.4445355191,49.573715847,47.9020218579,0.00078306010929
117,SOUTH CENTRAL,lincoln,ID,2011,126.8,1,0.0,37.457173913,0.552,101.0,0.0,182.0,184.0,0.498043478261,27.05375,46.20125,43.7168478261,0.000989130434783
118,SOUTH CENTRAL,minidoka,ID,2013,126.0,1,0.0,38.4655737705,0.21,91.0,0.0,179.0,183.0,0.464207650273,25.5509289617,49.1251912568,47.4074863388,0.000791803278689
120,SOUTH CENTRAL,minidoka,ID,2011,131.8,1,0.0,38.2213586957,0.563,107.0,0.0,182.0,184.0,0.515760869565,26.9935326087,45.8923913043,43.4076630435,0.00107663043478
121,SOUTH CENTRAL,minidoka,ID,2010,127.0,1,0.0,36.5955191257,0.886,101.0,0.0,180.0,183.0,0.495464480874,27.0725136612,45.4755191257,42.9945355191,0.00119344262295
123,SOUTH CENTRAL,twin falls,ID,2013,119.7,1,0.0,37.9687431694,0.0,78.0,0.0,182.0,183.0,0.417431693989,24.8270491803,52.258852459,50.2889071038,0.000748087431694
130,EAST,bannock,ID,2011,46.3,0,0.0,38.1034782609,0.687,113.0,0.0,182.0,184.0,0.523913043478,26.8647282609,45.2715217391,42.7785869565,0.00140163043478
131,EAST,bannock,ID,2010,59.8,0,0.0,36.067704918,1.875,111.0,0.0,177.0,183.0,0.49825136612,27.9512021858,44.3312021858,41.6250819672,0.00123224043716
133,EAST,bear lake,ID,2013,65.6,0,0.0,36.7427322404,0.462,89.0,0.0,176.0,183.0,0.473879781421,25.3374863388,46.9382513661,45.5490163934,0.00114153005464
135,EAST,bear lake,ID,2011,66.5,0,0.0,37.3266304348,2.8,116.0,0.0,179.0,184.0,0.529565217391,26.4743478261,44.446576087,42.5484782609,0.00174347826087
137,EAST,bingham,ID,2011,104.2,1,0.0,37.5760326087,0.757,109.0,0.0,182.0,184.0,0.534076086957,27.4163586957,43.9552173913,41.3332608696,0.00123695652174
138,EAST,bingham,ID,2010,100.8,1,0.0,35.9886263736,3.143,106.0,0.0,177.0,182.0,0.508571428571,28.1060989011,43.5821978022,40.8247802198,0.00121703296703
140,EAST,bonneville,ID,2013,105.0,1,0.0,37.4069565217,0.647,106.0,0.0,177.0,184.0,0.526086956522,26.9959782609,43.32875,41.0842391304,0.0010097826087
142,EAST,bonneville,ID,2011,103.9,1,0.0,36.1132065217,2.0,120.0,0.0,176.0,184.0,0.555380434783,27.9322282609,41.0845652174,38.4116847826,0.00153043478261
143,EAST,bonneville,ID,2010,99.4,1,0.0,34.6241530055,5.054,114.0,0.0,177.0,183.0,0.53606557377,29.0485245902,40.3474863388,37.6118032787,0.0015043715847
145,EAST,butte,ID,2013,99.3,1,0.0,38.0181420765,0.419,107.0,0.0,177.0,183.0,0.493114754098,25.7816393443,46.2096721311,44.6246994536,0.0012262295082
147,EAST,butte,ID,2011,99.6,1,0.0,36.4770652174,1.874,111.0,0.0,180.0,184.0,0.516793478261,27.1414673913,43.7150543478,41.3651630435,0.00119891304348
148,EAST,butte,ID,2010,90.8,1,0.0,35.4034972678,3.531,114.0,0.0,177.0,183.0,0.507868852459,26.7171038251,43.3843715847,41.0075409836,0.00198633879781
150,EAST,caribou,ID,2013,63.5,0,0.0,36.5481420765,0.793,92.0,0.0,176.0,183.0,0.490163934426,25.8320765027,45.4689071038,43.8942622951,0.000890163934426
152,EAST,caribou,ID,2011,66.9,0,0.0,37.0180434783,1.851,119.0,0.0,179.0,184.0,0.537010869565,27.6310326087,43.027826087,40.8593478261,0.00154456521739
153,EAST,caribou,ID,2010,66.4,0,0.0,34.8171038251,4.346,114.0,0.0,177.0,183.0,0.508142076503,29.3224043716,41.9445355191,39.5450819672,0.00130382513661
154,EAST,clark,ID,2013,102.5,1,0.0,38.109726776,0.772,115.0,0.0,177.0,183.0,0.532295081967,26.6131693989,43.3707650273,41.8556830601,0.00161420765027
155,EAST,custer,ID,2011,76.1,0,0.0,34.5840217391,1.1,105.0,0.0,178.0,184.0,0.497934782609,28.846576087,42.1002173913,40.2776630435,0.00144076086957
157,EAST,franklin,ID,2013,66.7,0,0.0,38.0193989071,0.215,88.0,0.0,177.0,183.0,0.469180327869,25.0604918033,48.651147541,47.1810928962,0.00113278688525
159,EAST,franklin,ID,2011,74.5,0,0.0,38.6663586957,1.636,114.0,0.0,182.0,184.0,0.529836956522,26.0569021739,45.9847826087,44.0738043478,0.00170163043478
160,EAST,franklin,ID,2010,72.3,0,0.0,36.1822826087,2.453,103.0,0.0,178.0,184.0,0.493423913043,27.998423913,45.0993478261,43.0092934783,0.0012652173913
162,EAST,fremont,ID,2013,91.0,1,0.0,38.7312021858,1.305,112.0,0.0,174.0,183.0,0.561202185792,26.3854098361,42.4569945355,40.6529508197,0.00128360655738
164,EAST,fremont,ID,2011,82.0,0,0.0,35.2929347826,4.791,131.0,0.0,172.0,184.0,0.558423913043,27.6197282609,40.0061413043,37.6654347826,0.00185380434783
165,EAST,fremont,ID,2010,72.2,0,0.0,34.7953551913,5.278,136.0,0.0,175.0,183.0,0.554863387978,27.9494535519,39.6648087432,37.360273224,0.00194371584699
167,EAST,jefferson,ID,2013,104.4,1,0.0,38.1289617486,0.206,110.0,0.0,177.0,183.0,0.515355191257,26.775136612,44.5330601093,42.5218579235,0.00129672131148
169,EAST,jefferson,ID,2011,102.8,1,0.0,36.250923913,2.488,116.0,0.0,178.0,184.0,0.540489130435,27.757173913,41.9522826087,39.3005978261,0.00144673913043
170,EAST,jefferson,ID,2010,105.8,1,0.0,35.0957377049,4.894,121.0,0.0,177.0,183.0,0.531912568306,27.9280874317,41.2513114754,38.5695628415,0.00162240437158
173,EAST,madison,ID,2013,83.9,0,0.0,37.500326087,0.203,103.0,0.0,178.0,184.0,0.524184782609,27.0969021739,43.4777173913,41.2542934783,0.00103913043478
175,EAST,madison,ID,2011,89.3,1,0.0,36.2825543478,2.83,117.0,0.0,179.0,184.0,0.555543478261,28.015326087,41.207173913,38.3077173913,0.00152119565217
176,EAST,madison,ID,2010,84.4,0,0.0,35.1098907104,4.928,118.0,0.0,176.0,183.0,0.545464480874,28.7867213115,40.3672131148,37.4478688525,0.00154426229508
177,EAST,oneida,ID,2013,47.3,0,0.0,38.653989071,0.175,82.0,0.0,181.0,183.0,0.446994535519,24.1054098361,51.0487431694,49.3283060109,0.0010306010929
178,EAST,oneida,ID,2011,70.3,0,0.0,39.5981521739,0.73,108.0,0.0,182.0,184.0,0.514510869565,25.1895652174,48.1927173913,45.9779891304,0.00149293478261
179,EAST,oneida,ID,2010,42.0,0,0.0,37.2215846995,0.566,100.0,0.0,180.0,183.0,0.479398907104,26.6989617486,47.32,44.876557377,0.0011956284153
180,EAST,power,ID,2013,68.5,0,0.0,38.5320765027,0.137,84.0,0.0,179.0,183.0,0.461639344262,25.3921857923,49.3424590164,47.683989071,0.000878142076503
182,EAST,teton,ID,2013,74.2,0,0.0,36.7448369565,1.087,106.0,0.0,171.0,184.0,0.542717391304,26.8211413043,42.0522282609,39.8120108696,0.00111358695652
191,NORTHWEST,flathead,MT,2013,62.8,0,0.0,40.8733152174,2.226,118.0,0.0,173.0,178.0,0.622445652174,23.1755434783,43.9292934783,41.1197826087,0.0026097826087
194,NORTHWEST,lake,MT,2013,58.5,0,0.0,40.1738043478,3.456,128.0,0.0,173.0,178.0,0.598532608696,21.7192391304,44.9094021739,42.5767934783,0.00226956521739
198,NORTHWEST,powell,MT,2013,83.3,0,0.0,39.1531693989,1.924,119.0,0.0,174.0,180.0,0.536721311475,24.9648087432,45.642568306,43.5978688525,0.00174480874317
204,NORTH CENTRAL,blaine,MT,2013,51.8,0,0.0,42.5885245902,1.669,120.0,0.0,173.0,179.0,0.610163934426,22.1390163934,46.81,44.7595081967,0.00293278688525
209,NORTH CENTRAL,chouteau,MT,2013,42.5,0,0.0,40.9352459016,3.382,111.0,0.0,174.0,177.0,0.575355191257,23.5242622951,46.3224043716,44.0392349727,0.00254918032787
214,NORTH CENTRAL,glacier,MT,2013,46.0,0,0.0,40.0120765027,5.085,148.0,0.0,168.0,176.0,0.633715846995,21.1372131148,43.3443169399,40.0253551913,0.00253005464481
219,NORTH CENTRAL,hill,MT,2013,58.6,0,0.0,42.4913114754,1.044,110.0,0.0,173.0,179.0,0.606666666667,23.2086338798,46.5068852459,44.209726776,0.0030306010929
222,NORTH CENTRAL,liberty,MT,2013,49.4,0,0.0,41.4374456522,1.732,112.0,0.0,174.0,179.0,0.599402173913,23.6058695652,45.6971195652,42.8901086957,0.00258152173913
226,NORTH CENTRAL,phillips,MT,2013,51.2,0,0.0,43.3948087432,3.154,125.0,0.0,173.0,179.0,0.622295081967,22.2304371585,47.0741530055,44.9493442623,0.00283661202186
230,NORTH CENTRAL,pondera,MT,2013,52.0,0,0.0,39.5493478261,3.741,126.0,0.0,174.0,178.0,0.591413043478,22.505,44.6320108696,41.5346195652,0.0022152173913
235,NORTH CENTRAL,teton,MT,2013,64.2,0,0.0,39.6986338798,3.641,128.0,0.0,174.0,178.0,0.569344262295,23.0493989071,45.5237704918,42.8797814208,0.00209617486339
240,NORTH CENTRAL,toole,MT,2013,49.1,0,0.0,40.6742934783,1.894,127.0,0.0,174.0,179.0,0.61847826087,22.8678804348,44.5501630435,41.24125,0.00253804347826
249,NORTHEAST,garfield,MT,2013,36.1,0,0.0,44.476557377,8.754,103.0,0.0,175.0,178.0,0.60393442623,24.7389617486,48.1136612022,46.0297814208,0.00302786885246
253,NORTHEAST,mccone,MT,2013,42.1,0,0.0,44.871420765,16.207,122.0,0.0,168.0,177.0,0.629781420765,22.1400546448,48.2281420765,46.1293989071,0.00301584699454
256,NORTHEAST,richland,MT,2013,57.0,0,0.0,45.9531147541,22.854,114.0,0.0,165.0,177.0,0.672677595628,21.923989071,47.4043169399,45.2670491803,0.00298469945355
260,NORTHEAST,sheridan,MT,2013,63.3,0,0.0,45.7456830601,20.304,98.0,0.0,161.0,176.0,0.697759562842,20.9313661202,46.6181420765,44.2472677596,0.00310382513661
263,NORTHEAST,valley,MT,2013,50.4,0,0.0,44.3158469945,3.647,107.0,0.0,171.0,178.0,0.621256830601,22.434863388,48.2262295082,45.7701639344,0.00254972677596
273,CENTRAL,broadwater,MT,2013,45.6,0,0.0,38.5062295082,2.134,117.0,0.0,174.0,180.0,0.528907103825,24.6739344262,45.7353551913,43.6196721311,0.00195792349727
278,CENTRAL,cascade,MT,2013,51.1,0,0.0,40.0666120219,4.496,98.0,0.0,174.0,178.0,0.553661202186,24.5887978142,46.3828961749,43.9066666667,0.00199945355191
283,CENTRAL,fergus,MT,2013,43.7,0,0.0,41.2739344262,3.667,109.0,0.0,174.0,176.0,0.58737704918,23.0589071038,46.2795628415,43.8647540984,0.00271803278689
289,CENTRAL,judith basin,MT,2013,37.1,0,0.0,38.8950819672,3.942,99.0,0.0,173.0,176.0,0.563278688525,23.2230054645,44.880273224,41.9159562842,0.00237103825137
299,CENTRAL,meagher,MT,2013,33.5,0,0.0,39.0009289617,2.992,117.0,0.0,174.0,177.0,0.545191256831,24.1147540984,45.5974863388,43.4,0.0021650273224
303,CENTRAL,musselshell,MT,2013,29.2,0,0.0,41.6730601093,3.331,112.0,0.0,174.0,176.0,0.567267759563,22.6895081967,47.8397814208,45.5629508197,0.00257540983607
306,CENTRAL,wheatland,MT,2013,29.9,0,0.0,39.853715847,1.604,109.0,0.0,174.0,177.0,0.565519125683,24.0913661202,45.6378688525,42.2679781421,0.0023606557377
315,SOUTHWEST,beaverhead,MT,2013,100.0,1,0.0,36.3173770492,2.443,104.0,0.0,174.0,183.0,0.52087431694,27.8672677596,41.5507650273,38.6953551913,0.00202459016393
320,SOUTHWEST,gallatin,MT,2013,56.5,0,0.0,39.0127322404,1.587,119.0,0.0,173.0,180.0,0.561803278689,26.2972131148,43.0324590164,40.7898360656,0.00191202185792
331,SOUTH CENTRAL,big horn,MT,2013,73.7,0,0.0,42.0422404372,3.55,109.0,0.0,174.0,178.0,0.523333333333,23.3727868852,50.3569945355,48.3915300546,0.00176174863388
336,SOUTH CENTRAL,carbon,MT,2013,38.8,0,0.0,40.3096174863,2.589,108.0,0.0,173.0,178.0,0.541857923497,24.1599453552,46.5325136612,44.2,0.00165628415301
341,SOUTH CENTRAL,park,MT,2013,43.4,0,0.0,39.2723497268,2.004,120.0,0.0,173.0,177.0,0.559453551913,25.423989071,43.8391256831,41.2644808743,0.00188579234973
349,SOUTH CENTRAL,treasure,MT,2013,108.3,1,0.0,43.2633333333,4.277,108.0,0.0,175.0,179.0,0.558852459016,23.3397814208,49.6531147541,47.7440983607,0.00248087431694
353,SOUTH CENTRAL,yellowstone,MT,2013,64.5,0,0.0,41.8081967213,3.216,112.0,0.0,174.0,177.0,0.539180327869,22.5903278689,49.6261748634,47.3957923497,0.00223989071038
361,SOUTHEAST,custer,MT,2012,55.0,0,0.0,49.57,0.0,0.0,0.0,187.0,187.0,0.67,21.11,53.37,53.37,0.0
365,SOUTHEAST,powder river,MT,2013,33.8,0,0.0,43.5687431694,34.013,121.0,0.0,168.0,177.0,0.588524590164,21.5240437158,49.1951912568,46.8703278689,0.00353825136612
366,SOUTHEAST,rosebud,MT,2013,103.1,1,0.0,44.2778142077,7.394,224.0,0.0,350.0,358.0,0.571202185792,22.9082513661,50.2269398907,48.1930054645,0.00244535519126
367,SOUTHEAST,rosebud,MT,2012,95.6,1,0.0,39.6275409836,0.0,87.0,0.0,182.0,183.0,0.453333333333,26.8613114754,50.7791256831,48.9946448087,0.000969945355191
368,SOUTHEAST,rosebud,MT,2010,85.5,1,0.0,43.6073224044,0.0,126.0,0.0,182.0,183.0,0.596721311475,25.3006557377,48.4980874317,46.1260655738,0.00262896174863
379,NORTHWEST,fremont,WY,2013,86.8,1,0.0,35.1630978261,16.206,96.0,0.0,172.0,179.0,0.462065217391,23.1215217391,47.65375,45.3801630435,0.00110543478261
383,NORTHWEST,hot springs,WY,2013,92.7,1,0.0,36.2622282609,11.221,116.0,0.0,172.0,179.0,0.493315217391,21.7367391304,47.2584782609,44.6248913043,0.00124184782609
387,NORTHWEST,park,WY,2013,86.8,1,0.0,37.8509782609,2.693,114.0,0.0,172.0,180.0,0.541413043478,24.0090217391,44.0689130435,42.1340217391,0.00133967391304
392,NORTHWEST,washakie,WY,2013,104.6,1,0.0,38.2101630435,10.563,105.0,0.0,173.0,180.0,0.488206521739,23.0592391304,48.8769021739,46.7188043478,0.00123695652174
414,SOUTHEAST,goshen,WY,2013,29.3,0,0.0,43.883989071,9.249,130.0,0.0,171.0,177.0,0.577431693989,25.7910382514,48.8506010929,46.4628961749,0.00189781420765
